raw_ingredient,normalized_ingredient,occurrence_count,suggested_canonical_molecule,confidence_score,review_status
Clarithromycin (as 27.5% w/w taste masked granules),Clarithromycin (as 27.5% W / W Taste Masked Granules),27,Clarithromycin (as lactobionate),0.99,auto_candidate
Iron-III-Hydroxide Polymaltose complex eq. to elemental Iron,Iron-iii-hydroxide Polymaltose Complex Eq To Elemental Iron,27,Iron-III-hydroxide polymaltose complex eq. to Elemental Iron + Folic Acid,0.99,auto_candidate
Losartan Potassium + Hydrochlorothiazide,Losartan Potassium + Hydrochlorothiazide,27,Losartan Potassium + Hydrochlorothiazide,0.99,auto_candidate
Rabeprazole(as sodium),Rabeprazole(as Sodium),27,Rabeprazole (pellets),0.99,auto_candidate
Cefoparazone+Sulbactum,Cefoparazone + Sulbactum,27,Cefoparazone+Sulbactum,0.96,auto_candidate
cefoperazone (as sodium) +Sulbactam(as sodium),Cefoperazone (as Sodium) + Sulbactam(as Sodium),26,cefoperazone + sulbactam,0.99,auto_candidate
Loratidine + Pseudoephedrine HCL,Loratidine + Pseudoephedrine Hcl,26,Loratidine + Pseudoephedrine HCL,0.99,auto_candidate
Orlistat pellets 50% w/w,Orlistat Pellets 50% W / W,26,Orlistat pellets 50% w/w,0.79,manual_review
Alendronate as Sodium,Alendronate As Sodium,25,Alendronate(as Sodium),0.99,auto_candidate
Ceftazidime as Pentahydrate (Buffered with Sodium Bicarbonate),Ceftazidime As Pentahydrate (buffered With Sodium Bicarbonate),25,Ceftazidime as Ceftazidime Pentahydrate,0.99,auto_candidate
Ceftazidime with Sodium Carbonate eq. to Ceftazidime sterile USP,Ceftazidime With Sodium Carbonate Eq To Ceftazidime Sterile Usp,25,Ceftazidime with Sodium Carbonate eq. to Ceftazidime sterile USP,0.99,auto_candidate
Eprosartan (as Mesylate),Eprosartan (as Mesylate),25,Eprosartan (as Mesylate),0.99,auto_candidate
Escitalopram(as Oxalate),Escitalopram(as Oxalate),25,escitalopram as oxalate,0.99,auto_candidate
R/O water qs,R / O Water Qs,25,R/O water qs,0.96,auto_candidate
Metoprolol as Succinate eq. to Metoprolol Tartrate,Metoprolol As Succinate Eq To Metoprolol Tartrate,24,Metoprolol (as tartrate),0.99,auto_candidate
Microencapsulated-ciprofloxacin eq. to Ciprofloxacin,Microencapsulated-ciprofloxacin Eq To Ciprofloxacin,24,Microencapsulated-ciprofloxacin eq. to Ciprofloxacin,0.99,auto_candidate
Salmeterol as xinafoate,Salmeterol As Xinafoate,24,Salmeterol (as xinafoate),0.99,auto_candidate
Sterile Cefotaxime (as Sodium),Sterile Cefotaxime (as Sodium),24,Sterile Cefotaxime (as Sodium),0.99,auto_candidate
Morphine (Sulphate),Morphine (sulphate),23,Morphine (Sulphate),0.99,auto_candidate
Naftifine (as HCl),Naftifine (as Hcl),23,Naftifine (as HCl),0.99,auto_candidate
Omeprazole+Sodium bicarbonate,Omeprazole + Sodium Bicarbonate,23,Omeprazole + Sodium Bicarbonate,0.99,auto_candidate
Artemthe/Lumefantrine,Artemthe / Lumefantrine,22,Artemthe/Lumefantrine,0.96,auto_candidate
Cefradine with L-Arginine,Cefradine With L-arginine,21,Cefradine with L-Arginine,0.99,auto_candidate
Ceftazidime as Pentahydrate and Sodium Carbonate,Ceftazidime As Pentahydrate and Sodium Carbonate,21,Ceftazidime as Ceftazidime Pentahydrate,0.99,auto_candidate
Salmeterol xinafoate eq. to Salmeterol,Salmeterol Xinafoate Eq To Salmeterol,21,Salmeterol xinafoate eq. to Salmeterol,0.99,auto_candidate
Orlistat immediate release pellets 50% w/w eq. to Orlistat,Orlistat Immediate Release Pellets 50% W / W Eq To Orlistat,21,orlistat,0.92,review_candidate
Amlodipine + Atorvastatin,Amlodipine + Atorvastatin,20,Amlodipine (as Besylate) + Atorvastatin (as Calcium Trihydrate),0.99,auto_candidate
Cefazoline Sodium eq. to Cefazoline Base,Cefazoline Sodium Eq To Cefazoline Base,20,Cefazoline Sodium eq. to Cefazoline Base,0.99,auto_candidate
Cefepime HCl with L-arginine eq. to Cefipime (anhydrous),Cefepime Hcl With L-arginine Eq To Cefipime (anhydrous),20,Cefepime HCl with L-Arginine eq. to Cefepime,0.99,auto_candidate
Cefepime with L-Arginine,Cefepime With L-arginine,20,Cefepime with L-Arginine eq. to Cefepime,0.99,auto_candidate
Cefixime(as Trihydrate),Cefixime(as Trihydrate),20,cefixime as Trihydrate,0.99,auto_candidate
Ceftazidime Pentahydrate Sterile USP buffered with Sodium Carbonate Sterile eq. to Ceftazidime,Ceftazidime Pentahydrate Sterile Usp Buffered With Sodium Carbonate Sterile Eq To Ceftazidime,20,Ceftazidime Pentahydrate Sterile USP buffered with Sodium Carbonate Sterile eq. to Ceftazidime,0.99,auto_candidate
Cofoperazone as Sodium,Cofoperazone As Sodium,20,Cofoperazone as Sodium,0.99,auto_candidate
Corresponding to:,Corresponding To:,20,Corresponding to:,0.99,auto_candidate
Diclofenac Sodium (32% w/w enteric coated pellets) eq to Diclofenac Sodium,Diclofenac Sodium (32% W / W Enteric Coated Pellets) Eq To Diclofenac Sodium,20,diclofenac sodium,0.99,auto_candidate
Metformin HCl + Pioglitazone as HCl,Metformin Hcl + Pioglitazone As Hcl,20,Metformin HCl + Pioglitazone as HCl,0.99,auto_candidate
Methylprednisolone (as sodium succinate),Methylprednisolone (as Sodium Succinate),20,Methylprednisolone (as sodium succinate),0.99,auto_candidate
Nicotine Polacrilex eq. to Nicotine,Nicotine Polacrilex Eq To Nicotine,20,Nicotine Polacrilex eq. to Nicotine,0.99,auto_candidate
Oprelvekin Recombinant Human Interleukin-11 (rHu1L - 11),Oprelvekin Recombinant Human Interleukin-11 (rhu1l - 11),20,Oprelvekin Recombinant Human Interleukin-11 (rHu1L - 11),0.99,auto_candidate
Piroxicam-Beta Cyclodextrine eq to piroxicam 20mg,Piroxicam-beta Cyclodextrine Eq To Piroxicam 20mg,20,Piroxicam-Beta Cyclodextrine eq to piroxicam 20mg,0.99,auto_candidate
Piroxicam(USP),Piroxicam(usp),20,piroxicam,0.99,auto_candidate
Polyethylene(PU) Tape Benzalkonium Chloride Pad,Polyethylene(pu) Tape Benzalkonium Chloride Pad,20,Polyethylene(PU) Tape Benzalkonium Chloride Pad,0.99,auto_candidate
Salmeterol as Salmeterol xinafoate,Salmeterol As Salmeterol Xinafoate,20,Salmeterol (as xinafoate),0.99,auto_candidate
Simvastatin + Ezetimibe,Simvastatin + Ezetimibe,20,Simvastatin + Ezetimibe,0.99,auto_candidate
Valproate (as Sodium Salt),Valproate (as Sodium Salt),20,Valproate (as Sodium Salt),0.99,auto_candidate
Cefipime( as Cefipime HCL,Cefipime( As Cefipime Hcl,19,Cefipime( as Cefipime HCL,0.99,auto_candidate
L-Arginine.,L-arginine.,19,L-Arginine,0.99,auto_candidate
Pheniramine as Maleate,Pheniramine As Maleate,19,Pheniramine as Maleate,0.99,auto_candidate
Vilanterol (As Trifenatate),Vilanterol (as Trifenatate),19,Vilanterol (As Trifenatate),0.99,auto_candidate
Betamethasone Dipropionate 0.064 % w/w eq. to Betamethasone,Betamethasone Dipropionate 0.064 % W / W Eq To Betamethasone,19,"Betamethasone as valerate, Neomycin sulphate",0.92,review_candidate
Alendronate as sodium………70mg,Alendronate As Sodium………70mg,18,Alendronate(as Sodium),0.99,auto_candidate
Attenuated avian infectious Bursal Disease Virus (intermediate strain) Taishu strain,Attenuated Avian Infectious Bursal Disease Virus (intermediate Strain) Taishu Strain,18,Attenuated avian infectious Bursal Disease Virus (intermediate strain) Taishu strain,0.99,auto_candidate
azithromycinazithromycin as dihydrate,Azithromycinazithromycin As Dihydrate,18,azithromycinazithromycin as dihydrate,0.99,auto_candidate
Cefepime as HCl with L-Arginine,Cefepime As Hcl With L-arginine,18,cefepime as HCL,0.99,auto_candidate
Cefiroxime as Axetil,Cefiroxime As Axetil,18,Cefiroxime as Axetil,0.99,auto_candidate
Cefoparazone (as Sodium),Cefoparazone (as Sodium),18,Cefoparazone (as Sodium),0.99,auto_candidate
Cefoperazone + Sulbactam,Cefoperazone + Sulbactam,18,cefoperazone + sulbactam,0.99,auto_candidate
Clomiphne citrate.,Clomiphne Citrate.,18,Clomiphne citrate.,0.99,auto_candidate
CYD Dengue Virus Serotype 1 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),Cyd Dengue Virus Serotype 1 (produced In Serum Free Vero Cells By Recombinant Dna Technology),18,CYD Dengue Virus Serotype 1 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),0.99,auto_candidate
CYD Dengue Virus Serotype 2 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),Cyd Dengue Virus Serotype 2 (produced In Serum Free Vero Cells By Recombinant Dna Technology),18,CYD Dengue Virus Serotype 2 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),0.99,auto_candidate
CYD Dengue Virus Serotype 3 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),Cyd Dengue Virus Serotype 3 (produced In Serum Free Vero Cells By Recombinant Dna Technology),18,CYD Dengue Virus Serotype 3 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),0.99,auto_candidate
CYD Dengue Virus Serotype 4 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),Cyd Dengue Virus Serotype 4 (produced In Serum Free Vero Cells By Recombinant Dna Technology),18,CYD Dengue Virus Serotype 4 (Produced in Serum Free Vero Cells by Recombinant DNA Technology),0.99,auto_candidate
Each tablet contains; Escitalopram as oxalate ..,Each Tablet Contains; Escitalopram As Oxalate ..,18,Each tablet contains; Escitalopram as oxalate ..,0.99,auto_candidate
Erythropoietin.,Erythropoietin.,18,Erythropoietin.,0.99,auto_candidate
Fusidic Acid + Hydrocortisone Acetate,Fusidic Acid + Hydrocortisone Acetate,18,Fusidic Acid + Hydrocortisone Acetate,0.99,auto_candidate
Glimepiride + Metformin,Glimepiride + Metformin,18,Glimepiride + Metformin,0.99,auto_candidate
Indacaterol Maleate eq. to Indacaterol,Indacaterol Maleate Eq To Indacaterol,18,indacaterol maleate eq to indacaterol,0.99,auto_candidate
Iron protein succinylate (eq. Iron (Fe+3) 40mg),Iron Protein Succinylate (eq. Iron (fe + 3) 40mg),18,Iron protein succinylate (eq. Iron (Fe+3) 40mg),0.99,auto_candidate
Iron-III Hydroxide Polymaltose complex eq. to Elemetal Iron + Folic acid,Iron-iii Hydroxide Polymaltose Complex Eq To Elemetal Iron + Folic Acid,18,Iron-III Hydroxide Polymaltose complex eq. to elemental iron,0.99,auto_candidate
Naratriptan as HCl,Naratriptan As Hcl,18,Naratriptan as HCl,0.99,auto_candidate
Omeprazole + Sodium Bicarbonate,Omeprazole + Sodium Bicarbonate,18,Omeprazole + Sodium Bicarbonate,0.99,auto_candidate
rBST (Recombinant Bovine Somatotropin) Lyophilized,Rbst (recombinant Bovine Somatotropin) Lyophilized,18,rBST (Recombinant Bovine Somatotropin) Lyophilized,0.99,auto_candidate
Rosuvastatin as Calcium/ Ezetimibe,Rosuvastatin As Calcium / Ezetimibe,18,Rosuvastatin(as calcium),0.99,auto_candidate
Silicon Dioxide(Aerosil),Silicon Dioxide(aerosil),18,Silicon Dioxide,0.99,auto_candidate
Sterile Capreomycin Sulphate eq to Capreomycin,Sterile Capreomycin Sulphate Eq To Capreomycin,18,Sterile Capreomycin Sulphate eq to Capreomycin,0.99,auto_candidate
Sterile piperacillin sodium eq. to Piperacillin,Sterile Piperacillin Sodium Eq To Piperacillin,18,Sterile Piperacillin sodium eq to Piperacillin,0.99,auto_candidate
Sterile Tazobactam Sodium eq.to Tazobactam,Sterile Tazobactam Sodium Eq To Tazobactam,18,Sterile tazobactam sodium eq to tazobactam,0.99,auto_candidate
Tetrahydrate cobalt (ii) acetate,Tetrahydrate Cobalt (ii) Acetate,18,Tetrahydrate cobalt (ii) acetate,0.99,auto_candidate
Valsartan+Hydrochlorothiazide,Valsartan + Hydrochlorothiazide,18,Valsartan+Hydrochlorothiazide,0.96,auto_candidate
Cefoperazone Sodium +Salbactum Sodium.,Cefoperazone Sodium + Salbactum Sodium.,18,cefoperazone (as sodium) +Sulbactam(as sodium),0.83,review_candidate
Acefylline Piperazine 45mg + Diphenhydramine HCI 8mg,Acefylline Piperazine 45mg + Diphenhydramine Hci 8mg,17,Acefylline Piperazine 45mg + Diphenhydramine HCI 8mg,0.99,auto_candidate
aluminum phosphate gel eq. to Al+++,Aluminum Phosphate Gel Eq To Al + + +,17,aluminum phosphate gel eq. to Al+++,0.99,auto_candidate
Cephradine Sterile with Arginine Sterile,Cephradine Sterile With Arginine Sterile,17,Cephradine Sterile with Arginine Sterile,0.99,auto_candidate
Diptheria Toxoid and Tetanus Toxoid and Tetanus Toxoid,Diptheria Toxoid and Tetanus Toxoid and Tetanus Toxoid,17,Diptheria Toxoid and Tetanus Toxoid and Tetanus Toxoid,0.99,auto_candidate
Each 5ml contains : Paracetamol / Dedtromethorphan HBr / Promethazine HCI..,Each 5ml Contains : Paracetamol / Dedtromethorphan Hbr / Promethazine Hci..,17,Each 5ml contains : Paracetamol / Dedtromethorphan HBr / Promethazine HCI..,0.99,auto_candidate
Each DS tablet contains:- Diloxanide Furoate + Metronidazole,Each Ds Tablet Contains:- Diloxanide Furoate + Metronidazole,17,Each DS tablet contains:- Diloxanide Furoate + Metronidazole,0.99,auto_candidate
Each tablet contains:- Diloxanide Furoate + Metronidazole,Each Tablet Contains:- Diloxanide Furoate + Metronidazole,17,Each tablet contains:- Diloxanide Furoate + Metronidazole,0.99,auto_candidate
Elemental iron + Folic acid,Elemental Iron + Folic Acid,17,Elemental iron + Folic acid,0.99,auto_candidate
Eprison (As HCL,Eprison (as Hcl,17,Eprison (As HCL,0.99,auto_candidate
Ibuprofen 100mg + Pseudoephedrine HCI 15mg,Ibuprofen 100mg + Pseudoephedrine Hci 15mg,17,Ibuprofen 100mg + Pseudoephedrine HCI 15mg,0.99,auto_candidate
meropenem(as meropenem trihydrate),Meropenem(as Meropenem Trihydrate),17,Meropenem (as mixture of sodium carbonate) eq. to Meropenem,0.99,auto_candidate
Metoprolol Succinate eq. to Metoprolol Tartate,Metoprolol Succinate Eq To Metoprolol Tartate,17,Metoprolol succinate eq. to metoprolol tartrate,0.99,auto_candidate
Metronidazole (as Benzoate) + Furazolidone,Metronidazole (as Benzoate) + Furazolidone,17,Metronidazole (as Benzoate) + Furazolidone,0.99,auto_candidate
Polio virus (Inactivated),Polio Virus (inactivated),17,Polio virus (Inactivated),0.99,auto_candidate
Tiotropium ( as bromide mono hydrate),Tiotropium ( As Bromide Mono Hydrate),17,Tiotropium (as Bromide monohydrate),0.99,auto_candidate
Tiotropium (as Bromide monohydrate),Tiotropium (as Bromide Monohydrate),17,Tiotropium (as Bromide monohydrate),0.99,auto_candidate
Inactivated Newcastle Disease NDV/Chicken/Egypt/11478AF/2011 (ND),Inactivated Newcastle Disease Ndv / Chicken / Egypt / 11478af / 2011 (nd),17,Inactivated Newcastle Disease NDV/Chicken/Egypt/11478AF/2011 (ND),0.96,auto_candidate
Diloxanide Furoate ....250mg+ Metronidazole Benzoate equivalent to Metronidazole....200mg,Diloxanide Furoate ....250mg + Metronidazole Benzoate Eq To Metronidazole....200mg,17,metronidazole 400mg,0.92,review_candidate
Flucinolone Acetonide+ Hydroquinone + Tretinoin,Flucinolone Acetonide + Hydroquinone + Tretinoin,17,Flucinolone Acetonide + Hydroquinone + Tretinoin,0.91,review_candidate
Sodium Cromoglycate /Tetrahydrozoline,Sodium Cromoglycate / Tetrahydrozoline,17,Sodium Cromoglycate /Tetrahydrozoline,0.83,review_candidate
Tamsulosin Hydrochloride SR pellets 0.2% w/w ≡Tamsulosin HCL,Tamsulosin Hydrochloride Sr Pellets 0.2% W / W ≡tamsulosin Hcl,17,Tamsulosin Hydrochloride SR pellets 0.2% w/w ≡Tamsulosin HCL,0.83,review_candidate
Atenolol.,Atenolol.,16,Atenolol.,0.99,auto_candidate
Cefoperazone as sodium + Sulbactam,Cefoperazone As Sodium + Sulbactam,16,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Each capsule contains: Esomeprazole Magnesium Trihydrate enteric coated pellets eq. to Esomeprazole,Each Capsule Contains: Esomeprazole Magnesium Trihydrate Enteric Coated Pellets Eq To Esomeprazole,16,Each capsule contains: Esomeprazole Magnesium Trihydrate enteric coated pellets eq. to Esomeprazole,0.99,auto_candidate
Each Capsule Contains: Lincomycine as HCl,Each Capsule Contains: Lincomycine As Hcl,16,Each Capsule Contains: Lincomycine as HCl,0.99,auto_candidate
Esomeprazole (as enteric coated pellets 22.5% w/w),Esomeprazole (as Enteric Coated Pellets 22.5% W / W),16,esomeprazole as magnesium trihydrate (Pellets),0.99,auto_candidate
Glyceryl Trinitrate 2% with Lactose,Glyceryl Trinitrate 2% With Lactose,16,Glyceryl Trinitrate 2% with Lactose,0.99,auto_candidate
Linezolid.,Linezolid.,16,Linezolid (USP),0.99,auto_candidate
"Live, frozen vaccine, Marek’s disease HVT strain and Newcastle disease virus Serotype 3, Live Marek’s disease Vector, for the active immunization of chickens against Marek’s disease and Newcastle dis","Live, Frozen Vaccine, Marek’s Disease Hvt Strain and Newcastle Disease Virus Serotype 3, Live Marek’s Disease Vector, For The Active Immunization of Chickens Against Marek’s Disease and Newcastle Dis",16,"Live, frozen vaccine, Marek’s disease HVT strain and Newcastle disease virus Serotype 3, Live Marek’s disease Vector, for the active immunization of chickens against Marek’s disease and Newcastle dis",0.99,auto_candidate
Lymecycline eq. to Tetracycline,Lymecycline Eq To Tetracycline,16,Lymecycline eq. to Tetracycline,0.99,auto_candidate
Paracetamol + Caffeine + Chlorpheniramine Maleate,Paracetamol + Caffeine + Chlorpheniramine Maleate,16,Paracetamol + Caffeine + Chlorpheniramine Maleate,0.99,auto_candidate
Pazopanib (As Hydrochloride),Pazopanib (as Hydrochloride),16,Pazopanib (As Hydrochloride),0.99,auto_candidate
Piroxcam (as Betadex),Piroxcam (as Betadex),16,Piroxcam (as Betadex),0.99,auto_candidate
Radeparzole as sodium,Radeparzole As Sodium,16,Radeparzole as sodium,0.99,auto_candidate
Recombinant Human Granulocyte Colony-Stimulating Factor (rhG-CSF),Recombinant Human Granulocyte Colony-stimulating Factor (rhg-csf),16,Recombinant Human Granulocyte Colony-Stimulating Factor (rhG-CSF),0.99,auto_candidate
Sterile Cefoperazone (as Sodium),Sterile Cefoperazone (as Sodium),16,Sterile Cefoperazone (as Sodium),0.99,auto_candidate
Vinorelbine Tartrate eq. to Vinorelbine,Vinorelbine Tartrate Eq To Vinorelbine,16,Vinorelbine Tartrate eq. to Vinorelbine,0.99,auto_candidate
Metronidazole+Diloxamide Furoate,Metronidazole + Diloxamide Furoate,16,Metronidazole+Diloxamide Furoate,0.96,auto_candidate
-------,-------,15,eq. to elemental Iron,0.99,auto_candidate
(III)Hydroxide Polymaltose Complex to Elemental Iron,(iii)hydroxide Polymaltose Complex To Elemental Iron,15,(III)Hydroxide Polymaltose Complex to Elemental Iron,0.99,auto_candidate
Amlodipine(as Besylate),Amlodipine(as Besylate),15,Amlodipine as besylate eq. to Amlodipine,0.99,auto_candidate
Atorvastatin(as Calcium),Atorvastatin(as Calcium),15,Atorvastatin(calcium trihydrate),0.99,auto_candidate
Azithromycine Dihydrate eq. to Azithromycin,Azithromycine Dihydrate Eq To Azithromycin,15,Azithromycine Dihydrate eq. to Azithromycin,0.99,auto_candidate
Buspirone HCl eq to Buspirone,Buspirone Hcl Eq To Buspirone,15,Buspirone HCl eq to Buspirone,0.99,auto_candidate
Cephradine with L-Arginine eq. to Cephradine,Cephradine With L-arginine Eq To Cephradine,15,Cephradine with L-Arginine eq. to Cephradine,0.99,auto_candidate
Dapagliflozin propanediol monohydrate eq. to Dapagliflozin,Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin,15,Dapagliflozin propanediol monohydrate eq. to Dapagliflozin,0.99,auto_candidate
Dexketoprofen as Trometamol,Dexketoprofen As Trometamol,15,Dexketoprofen as Trometamol,0.99,auto_candidate
Domeridone as Maleate,Domeridone As Maleate,15,Domeridone as Maleate,0.99,auto_candidate
Doxazosin as Mesylate,Doxazosin As Mesylate,15,Doxazosin as Mesilate,0.99,auto_candidate
